ID Number,Last Name,First Name,M.I.,Degree,Yr Lvl,Address,Contact #,Email,Acad Year,Semester,Type of Scholarship,Scholarship,Remarks
25-0107,Dela Cruz,Ramon,A.,Bachelor of Science in Agriculture,2nd Year,"Muñoz, Nueva Ecija",0944-207-2321,delacruz.ramon@clsu2.edu.ph,2025-2026,2nd Semester,Institutional,Academic Scholarship - College Scholarship,Active
24-0114,Santos,Liezel,B.,Bachelor of Science in Development Communication,3rd Year,"Cabanatuan City, Nueva Ecija",0951-214-2342,santos.liezel@clsu2.edu.ph,2025-2026,1st Semester,Institutional,Academic Scholarship - College Scholarship,For renewal
23-0121,Reyes,Miguel,C.,Bachelor of Science in Psychology,4th Year,"Talavera, Nueva Ecija",0958-221-2363,reyes.miguel@clsu2.edu.ph,2025-2026,1st Semester,Institutional,Academic Scholarship - University Scholarship,Documents incomplete
22-0128,Bautista,Angela,D.,Bachelor of Arts in Literature,5th Year,"Guimba, Nueva Ecija",0965-228-2384,bautista.angela@clsu2.edu.ph,2025-2026,1st Semester,Institutional,Academic Scholarship - University Scholarship,Pending verification
26-0135,Villanueva,Christian,E.,Bachelor of Arts in Social Sciences,1st Year,"Gapan City, Nueva Ecija",0972-235-2405,villanueva.christian@clsu2.edu.ph,2025-2026,2nd Semester,Institutional,CAT Top 20 Qualifiers (BR Res. No. 37-2002),Active
25-0142,Garcia,Patricia,F.,Bachelor of Arts in Filipino,2nd Year,"San Jose City, Nueva Ecija",0979-242-2426,garcia.patricia@clsu2.edu.ph,2025-2026,1st Semester,Institutional,CAT Top 20 Qualifiers (BR Res. No. 37-2002),Active
24-0149,Torres,Joshua,G.,Bachelor of Arts in International Studies – Global Sustainable Development,3rd Year,"Zaragoza, Nueva Ecija",0986-249-2447,torres.joshua@clsu2.edu.ph,2025-2026,1st Semester,Institutional,Children of Staff Members,Active
23-0156,Ramos,Kimberly,H.,Bachelor of Science in Accountancy,4th Year,"Aliaga, Nueva Ecija",0993-256-2468,ramos.kimberly@clsu2.edu.ph,2025-2026,1st Semester,Institutional,Children of Staff Members,Active
22-0163,Mendoza,Paolo,J.,Bachelor of Science in Business Administration – Marketing Management,5th Year,"Bongabon, Nueva Ecija",0920-263-2489,mendoza.paolo@clsu2.edu.ph,2025-2026,2nd Semester,Institutional,CLSU Collegian Staffer,For renewal
26-0170,Cruz,Andrea,K.,Bachelor of Science in Business Administration – Business Economics,1st Year,"Cabiao, Nueva Ecija",0927-270-2510,cruz.andrea@clsu2.edu.ph,2025-2026,1st Semester,Institutional,CLSU Collegian Staffer,Documents incomplete
25-0177,Aquino,Marco,L.,Bachelor of Science in Business Administration – Human Resource Management,2nd Year,"Quezon, Nueva Ecija",0934-277-2531,aquino.marco@clsu2.edu.ph,2025-2026,1st Semester,Institutional,CLSU Supreme Student Council,Pending verification
24-0184,Flores,Bianca,M.,Bachelor of Science in Entrepreneurship,3rd Year,"San Isidro, Nueva Ecija",0941-284-2552,flores.bianca@clsu2.edu.ph,2025-2026,1st Semester,Institutional,CLSU Supreme Student Council,Active
